Species,WtSpMean,WtSpN,WtSpSE,WingSpMean,WingSpN,WingSpSE,ECulmSpMean,ECulmSpN,ECulmSpSE,TarSpMean,TarSpN,TarSpSE, HClawSpMean, HClawSpN,HClawSpSE
Eriocnemis_cupreoventris,1.665652761,26,0.011701385,4.108195614,26,0.004739554,2.906544573,26,0.006740635,1.807756245,26,0.023602779,1.266731324,26,0.022413171
Eriocnemis_glaucopoides,1.280933845,1,0.068264421,3.925925911,1,0.031914097,2.895911938,1,0.03370817,1.791759469,1,0.062416183,1.064710737,1,0.070118761
Eriocnemis_luciani,1.832549463,2,0.008000171,4.221552907,12,0.010803926,3.032667896,12,0.011140085,1.921014817,2,0.080465183,1.352599013,12,0.027693662
Eriocnemis_vestitus,1.542963701,98,0.005727074,4.079210039,101,0.002882744,2.938999627,103,0.004569071,1.809526645,102,0.009336341,1.224485879,102,0.010394869
Eugenes_fulgens,2.185298893,4,0.089030168,4.242664469,30,0.009939227,3.336495752,30,0.018650335,1.850896985,6,0.046384363,1.193746082,9,0.065665857
Eulampis_holosericeus,1.722766598,1,0.068264421,4.089017605,4,0.0279641,3.069941003,4,0.017039888,1.526056303,1,0.062416183,0.996795606,4,0.06195943
Eulampis_jugularis,2.163323026,1,0.068264421,4.278805564,40,0.008293165,3.185846,40,0.014372194,1.896944105,3,0.013278543,1.394819223,4,0.051522041
Eupetomena_macroura,1.887069649,1,0.068264421,4.247065649,1,0.031914097,3.077312261,1,0.03370817,1.887069649,1,0.062416183,1.223775432,1,0.070118761
Eupherusa_cyanophrys,1.548692964,2,0.13770599,4.039344115,2,0.095822442,2.919156684,2,0.051257782,1.514583525,2,0.032978984,0.909038389,2,0.120581028
Eupherusa_eximia,1.529246529,6,0.013082203,4.044705026,11,0.018508552,2.859781126,11,0.024465221,1.657841153,6,0.052055815,1.087999243,11,0.039945222
Eupherusa_nigriventris,,,,3.890648581,2,0.017366403,2.660039429,2,0.0209821,1.252762968,1,0.062416183,1.029619417,2,0
Eutoxeres_aquila,2.284652951,3,0.033361153,4.221738281,11,0.028166271,3.267058988,11,0.024931084,1.882657913,3,0.098854048,1.482692767,5,0.04159446
Eutoxeres_condamini,2.350240183,2,0.04765509,4.232236173,6,0.01292771,3.322532583,6,0.006423713,2.189761752,2,0.061530046,1.612587272,4,0.035097762
Florisuga_mellivora,1.958972944,5,0.044617843,4.186254869,18,0.016768839,2.926458762,18,0.01967727,1.486212281,10,0.031391938,0.900270282,12,0.032765476
Glaucis_aeneus,1.656000901,2,0.066765696,3.959871236,5,0.009496635,3.365580475,5,0.022579958,1.6945624,2,0.045903775,0.82976655,5,0.103196164
Glaucis_hirsuta,1.890843252,2,0.150377077,4.004628919,9,0.036196905,3.41219608,9,0.028737804,1.654541046,2,0.085925128,0.885980042,8,0.075603384
Goethalsia_bella,1.216806678,2,0.118194389,3.931352514,2,0.053920953,2.821095359,2,0.023814024,1.757857918,2,0,0.974381609,2,0.018870164
Haplophaedia_aureliae,1.711805488,2,0.063146863,4.079979717,25,0.008836893,2.877306908,25,0.006717028,1.618694845,3,0.063349955,1.209833263,5,0.062929291
Haplophaedia_lugens,,,,4.137987956,3,0.030238467,2.931983855,3,0.009934091,1.739151441,3,0.08577483,1.178731455,3,0.070757796
Heliactin_bilopha,,,,3.865505665,3,0.04673915,2.606009313,3,0.040348648,1.522261219,2,0.087176694,0.771504555,3,0.041226603
Heliangelus_amethysticollis,1.666187571,3,0.038826749,4.146864044,8,0.022868436,2.750279497,8,0.027620864,1.985697147,4,0.037975805,1.406213185,8,0.022074538
Heliangelus_exortis,1.481604541,2,0,4.072257962,10,0.032369418,2.675373433,10,0.021997118,1.818134752,2,0.11338666,1.211628771,4,0.055957677
Heliangelus_regalis,1.504077397,1,0.068264421,4.016383021,1,0.031914097,2.646174797,1,0.03370817,1.840549633,1,0.062416183,1.435084525,1,0.070118761
Heliangelus_strophianus,1.526056303,1,0.068264421,3.996364154,1,0.031914097,2.602689685,1,0.03370817,1.902107526,1,0.062416183,1.410986974,1,0.070118761
Heliangelus_viola,1.619731229,2,0.138126688,4.205679615,2,0.099735917,2.638419167,2,0.035729482,1.844689665,2,0.086831747,1.360647714,2,0.025646647
Heliodoxa_branickii,1.66752879,2,0.018870164,4.152039174,3,0.046693095,3.06922093,3,0.044100295,1.886954852,2,0.015152675,1.162193218,3,0.030791107
Heliodoxa_gularis,1.894362395,2,0.022560218,4.173458597,2,0.043103598,3.242103832,2,0.031260178,1.777388235,2,0.109681414,1.252354639,2,0.028579207
Heliodoxa_imperatrix,,,,4.317288074,2,0.020002667,3.272804124,2,0.070057681,1.931521412,1,0.062416183,1.287068892,2,0.123918082
Heliodoxa_jacula,2.091787848,2,0.012346306,4.211126881,8,0.027783577,3.089199048,8,0.026017534,1.60823647,2,0.149621447,1.270773168,7,0.046342419
Heliodoxa_leadbeateri,1.942223119,2,0.085925128,4.233058356,4,0.026437924,3.077369969,4,0.055451564,2.026761284,2,0.052680258,1.175894799,4,0.084472915
Heliodoxa_rubinoides,2.049336643,11,0.015953011,4.193649136,15,0.014777587,3.104157898,15,0.01524908,1.857185282,11,0.025900274,1.278891152,15,0.017057378
Heliodoxa_schreibersii,2.119222453,2,0.078002124,4.244556515,4,0.02189787,3.104749105,4,0.025460481,1.95336741,3,0.082979056,1.244698422,4,0.02437612
